-0.707107	-4.10687e-18	0.707107	
-0.706965	-4.10605e-18	0.706965	
-0.706541	-4.10359e-18	0.706541	
-0.705834	-4.09948e-18	0.705834	
-0.704845	-4.09374e-18	0.704845	
-0.703574	-4.08636e-18	0.703574	
-0.702022	-4.07734e-18	0.702022	
-0.700188	-4.06669e-18	0.700188	
-0.698075	-4.05442e-18	0.698075	
-0.695683	-4.04052e-18	0.695683	
-0.693012	-4.02501e-18	0.693012	
-0.690064	-4.00789e-18	0.690064	
-0.68684	-3.98916e-18	0.68684	
-0.683341	-3.96884e-18	0.683341	
-0.679569	-3.94693e-18	0.679569	
-0.675525	-3.92345e-18	0.675525	
-0.671211	-3.89839e-18	0.671211	
-0.666628	-3.87177e-18	0.666628	
-0.661779	-3.84361e-18	0.661779	
-0.656665	-3.81391e-18	0.656665	
-0.651288	-3.78268e-18	0.651288	
-0.645651	-3.74994e-18	0.645651	
-0.639756	-3.7157e-18	0.639756	
-0.633605	-3.67997e-18	0.633605	
-0.6272	-3.64278e-18	0.6272	
-0.620545	-3.60412e-18	0.620545	
-0.613641	-3.56402e-18	0.613641	
-0.606492	-3.5225e-18	0.606492	
-0.5991	-3.47957e-18	0.5991	
-0.591468	-3.43525e-18	0.591468	
-0.5836	-3.38955e-18	0.5836	
-0.575499	-3.3425e-18	0.575499	
-0.567167	-3.29411e-18	0.567167	
-0.558609	-3.2444e-18	0.558609	
-0.549827	-3.19339e-18	0.549827	
-0.540825	-3.14111e-18	0.540825	
-0.531607	-3.08757e-18	0.531607	
-0.522176	-3.0328e-18	0.522176	
-0.512536	-2.97681e-18	0.512536	
-0.502692	-2.91963e-18	0.502692	
-0.492646	-2.86129e-18	0.492646	
-0.482403	-2.8018e-18	0.482403	
-0.471967	-2.74119e-18	0.471967	
-0.461343	-2.67948e-18	0.461343	
-0.450534	-2.6167e-18	0.450534	
-0.439545	-2.55287e-18	0.439545	
-0.42838	-2.48803e-18	0.42838	
-0.417043	-2.42218e-18	0.417043	
-0.40554	-2.35537e-18	0.40554	
-0.393874	-2.28762e-18	0.393874	
-0.382051	-2.21895e-18	0.382051	
-0.370076	-2.1494e-18	0.370076	
-0.357952	-2.07898e-18	0.357952	
-0.345685	-2.00774e-18	0.345685	
-0.333279	-1.93569e-18	0.333279	
-0.320741	-1.86286e-18	0.320741	
